科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
ヒューマンセキュリティ,湘南藤沢,渡辺 靖,対面授業（主として対面授業）,λ17,月2,SFC
研究開発と組織,湘南藤沢,清水 たくみ,対面授業（主として対面授業）,κ22,火2,SFC
量子情報処理,湘南藤沢,バンミーター， ロドニー Ｄ．,対面授業（主として対面授業）,ι11,月2,SFC
分子栄養学と健康(GIGA/GI),湘南藤沢,渡辺 光博,対面授業（主として対面授業）,κ11,金4,SFC;その他
細胞レベルの生命科学による革新,湘南藤沢,黒田 裕樹,対面授業（主として対面授業）,Ω11,火4,SFC
ヘルスリサーチの基礎【学期前半】,湘南藤沢,"秋山 美紀, 牛山 潤一, 黒田 裕樹, 佐藤 豪竜, 島津 明人, 内藤 泰宏",対面授業（主として対面授業）,Ω22,"月4,5",SFC;その他
研究会Ａ,湘南藤沢,神保 謙,対面授業（主として対面授業）,ι12,"木4,5",SFC
物理・化学基礎,湘南藤沢,楠本 博之,対面授業（主として対面授業）,Ω21,火1,SFC
未来構想ワークショップ【学期前半】,湘南藤沢,矢作 尚久,対面授業（主として対面授業）,κ23,"月4,5",SFC
リーガルワークショップ【学期後半】(GIGA/GG/GI),湘南藤沢,マラケ， カタリナ,オンライン授業（主としてリアルタイム形式）,,"水4,5",その他
フランス語コンテンツ,湘南藤沢,ドマジ， サシャ,対面授業（主として対面授業）,ι17,木4,SFC
古典と現在,湘南藤沢,清水 唯一朗,対面授業（主として対面授業）,ι12,木2,SFC
研究会Ａ,湘南藤沢,中西 泰人,対面授業（主として対面授業）,"火5:λ24, 木5:κ21",火5/木5,SFC;その他
研究会Ａ,湘南藤沢,廣瀬 陽子,対面授業（主として対面授業）,ι15,"火4,5",SFC
ドイツ語コンテンツ,湘南藤沢,グラスミュック， マルクス,オンライン授業（主としてリアルタイム形式）,,月5,その他
中国語インテンシブ２CC,湘南藤沢,"新田 順一, 郭 夢ギョウ, 宮本 大輔, 楊 洲",対面授業（主として対面授業）,"月2:ε15, 火1:ε15, 水2:ο12, 金1:ε11",月2/火1/水2/金1,SFC
自然環境論,湘南藤沢,一ノ瀬 友博,対面授業（主として対面授業）,ο22,火3,SFC
視覚メディア表現,湘南藤沢,脇田 玲,対面授業（主として対面授業）,λ21,金4,SFC
ヒューマンコンピュータインタラクション,湘南藤沢,中西 泰人,対面授業（主として対面授業）,λ25,火2,SFC
中国語インテンシブ４CA,湘南藤沢,"鄭 浩瀾, 郭 夢ギョウ, 嚴 馥, 華 金玲",対面授業（主として対面授業）,"月1:ε15, 火2:ε15, 水2:ι17, 金2:ε18",月1/火2/水2/金2,SFC
アラビア語インテンシブ２,湘南藤沢,"山本 薫, アルマンスール， アフマド, 植村 さおり, ジャームース， ラーウィヤ",対面授業（主として対面授業）,"火1:λ24, 水2:ε11, 木2:κ13, 金2:λ18",火1/水2/木2/金2,SFC
運動の生理と心理【学期後半】,湘南藤沢,牛山 潤一,対面授業（主として対面授業）,Ω11,"月4,5",SFC
中国語コンテンツ,湘南藤沢,鄭 浩瀾,対面授業（主として対面授業）,λ23,金3,SFC
朝鮮語コンテンツ,湘南藤沢,徐 旻廷,対面授業（主として対面授業）,κ21,金2,SFC
政治哲学（現代）,湘南藤沢,宮代 康丈,対面授業（主として対面授業）,κ23,金2,SFC
